codigo_municipio,sigla_uf,nome_municipio,nome_municipio_padronizado,ano,quantidade_mortes_intervencao_policial_civil_fora_de_servico,quantidade_feminicidio,quantidade_mortes_intervencao_policial_militar_fora_de_servico,quantidade_furto_veiculos,quantidade_mortes_intervencao_policial_civil_em_servico,quantidade_estupro,quantidade_morte_policiais_civis_confronto_em_servico,quantidade_mortes_intervencao_policial_militar_em_servico,quantidade_mortes_policiais_confronto,quantidade_posse_uso_entorpecente,quantidade_mortes_violentas_intencionais,quantidade_morte_policiais_militares_fora_de_servico,quantidade_morte_policiais_civis_fora_de_servico,quantidade_latrocinio,quantidade_porte_ilegal_arma_de_fogo,quantidade_mortes_intervencao_policial,quantidade_roubo_furto_veiculos,quantidade_posse_ilegal_arma_de_fogo,quantidade_lesao_corporal_dolosa_violencia_domestica,quantidade_trafico_entorpecente,quantidade_roubo_veiculos,quantidade_lesao_corporal_morte,quantidade_morte_policiais_militares_confronto_em_servico,quantidade_posse_ilegal_porte_ilegal_arma_de_fogo,quantidade_homicidio_doloso,proporcao_mortes_intenvencao_policial_x_mortes_violentas_intencionais
2704302,AL,Maceió,maceio,2016,0.0,0.0,2.0,305.0,0.0,155.0,0.0,57.0,5.0,0.0,531,2.0,1.0,21,0.0,59.0,1538.0,0.0,0.0,0.0,1233.0,2.0,2.0,0.0,449,11.0
2304400,CE,Fortaleza,fortaleza,2016,0.0,0.0,7.0,2820.0,1.0,458.0,0.0,23.0,8.0,0.0,1046,5.0,2.0,27,0.0,39.0,9235.0,0.0,0.0,0.0,6415.0,15.0,1.0,0.0,965,3.0
3205309,ES,Vitória,vitoria,2016,0.0,0.0,2.0,338.0,1.0,25.0,0.0,6.0,0.0,0.0,63,0.0,0.0,0,0.0,9.0,565.0,0.0,0.0,0.0,227.0,3.0,0.0,0.0,51,14.0
5208707,GO,Goiânia,goiania,2016,0.0,0.0,24.0,3733.0,0.0,161.0,0.0,76.0,3.0,0.0,599,3.0,0.0,33,0.0,100.0,11031.0,0.0,0.0,0.0,7298.0,14.0,0.0,0.0,452,16.0
2111300,MA,São Luís,sao luis,2016,0.0,0.0,0.0,487.0,0.0,224.0,0.0,27.0,1.0,0.0,560,1.0,0.0,23,0.0,27.0,2165.0,0.0,0.0,0.0,1678.0,12.0,0.0,0.0,498,4.0
5103403,MT,Cuiabá,cuiaba,2016,0.0,0.0,0.0,1158.0,0.0,353.0,0.0,0.0,3.0,0.0,218,2.0,0.0,18,0.0,0.0,2588.0,0.0,0.0,0.0,1430.0,4.0,1.0,0.0,196,
1501402,PA,Belém,belem,2016,0.0,0.0,0.0,1012.0,0.0,481.0,0.0,0.0,10.0,0.0,978,7.0,2.0,41,0.0,39.0,2916.0,0.0,0.0,0.0,1904.0,20.0,1.0,0.0,878,3.0
2507507,PB,João Pessoa,joao pessoa,2016,0.0,0.0,0.0,0.0,1.0,92.0,0.0,4.0,4.0,0.0,350,1.0,1.0,8,0.0,5.0,813.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,341,1.0
2611606,PE,Recife,recife,2016,0.0,0.0,0.0,1520.0,0.0,446.0,0.0,0.0,6.0,0.0,640,5.0,1.0,5,0.0,15.0,4981.0,0.0,0.0,0.0,3461.0,11.0,0.0,0.0,624,2.0
2211001,PI,Teresina,teresina,2016,1.0,0.0,4.0,1104.0,0.0,226.0,0.0,2.0,1.0,0.0,367,1.0,0.0,22,0.0,7.0,3587.0,0.0,0.0,0.0,2483.0,4.0,0.0,0.0,341,1.0
3304557,RJ,Rio de Janeiro,rio de janeiro,2016,0.0,0.0,0.0,6710.0,0.0,1392.0,2.0,0.0,43.0,0.0,1950,21.0,4.0,88,0.0,504.0,26024.0,0.0,0.0,0.0,19314.0,28.0,16.0,0.0,1330,25.0
2408102,RN,Natal,natal,2016,0.0,0.0,0.0,698.0,1.0,78.0,0.0,15.0,3.0,0.0,562,1.0,2.0,15,0.0,16.0,3766.0,0.0,0.0,0.0,3068.0,36.0,0.0,0.0,495,2.0
4205407,SC,Florianópolis,florianopolis,2016,0.0,0.0,0.0,862.0,0.0,195.0,0.0,7.0,1.0,0.0,90,0.0,0.0,3,0.0,6.0,1248.0,0.0,0.0,0.0,386.0,2.0,1.0,0.0,79,6.0
1200401,AC,Rio Branco,rio branco,2016,1.0,0.0,7.0,0.0,2.0,111.0,0.0,11.0,5.0,0.0,233,3.0,1.0,7,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,226,9.0
1302603,AM,Manaus,manaus,2016,6.0,0.0,7.0,2693.0,0.0,783.0,0.0,21.0,7.0,0.0,961,6.0,0.0,91,0.0,34.0,6279.0,0.0,0.0,0.0,3586.0,35.0,1.0,0.0,801,3.0
1600303,AP,Macapá,macapa,2016,1.0,0.0,0.0,791.0,0.0,306.0,0.0,53.0,0.0,0.0,289,0.0,0.0,14,0.0,54.0,997.0,0.0,0.0,0.0,206.0,11.0,0.0,0.0,210,18.0
2927408,BA,Salvador,salvador,2016,0.0,0.0,0.0,1644.0,10.0,501.0,1.0,112.0,8.0,0.0,1471,6.0,0.0,38,0.0,122.0,7863.0,0.0,0.0,0.0,6219.0,22.0,1.0,0.0,1289,8.0
5300108,DF,Brasília,brasilia,2016,0.0,0.0,0.0,7038.0,0.0,668.0,0.0,0.0,3.0,0.0,659,2.0,0.0,44,0.0,7.0,12701.0,0.0,0.0,0.0,5663.0,5.0,1.0,0.0,603,1.0
3106200,MG,Belo Horizonte,belo horizonte,2016,0.0,0.0,5.0,7564.0,0.0,568.0,0.0,10.0,3.0,0.0,638,1.0,1.0,15,0.0,15.0,12655.0,0.0,0.0,0.0,5091.0,8.0,1.0,0.0,615,2.0
4106902,PR,Curitiba,curitiba,2016,1.0,0.0,18.0,5518.0,3.0,570.0,0.0,53.0,4.0,0.0,582,2.0,2.0,25,0.0,75.0,10676.0,0.0,0.0,0.0,5158.0,14.0,0.0,0.0,468,12.0
4314902,RS,Porto Alegre,porto alegre,2016,5.0,0.0,11.0,3653.0,2.0,244.0,0.0,26.0,4.0,0.0,827,3.0,0.0,40,0.0,44.0,11782.0,0.0,0.0,0.0,8129.0,2.0,1.0,0.0,785,5.0
3550308,SP,São Paulo,sao paulo,2016,16.0,0.0,147.0,44668.0,6.0,2316.0,3.0,269.0,33.0,0.0,1450,19.0,3.0,116,0.0,438.0,82830.0,0.0,0.0,0.0,38162.0,9.0,8.0,0.0,887,30.0
5002704,MS,Campo Grande,campo grande,2016,0.0,0.0,0.0,2047.0,0.0,538.0,0.0,14.0,0.0,0.0,162,0.0,0.0,13,0.0,14.0,2564.0,0.0,0.0,0.0,517.0,0.0,0.0,0.0,149,8.0
1100205,RO,Porto Velho,porto velho,2016,0.0,0.0,3.0,1867.0,0.0,382.0,0.0,3.0,0.0,0.0,191,0.0,0.0,17,0.0,6.0,3291.0,0.0,0.0,0.0,1424.0,1.0,0.0,0.0,173,3.0
2800308,SE,Aracaju,aracaju,2016,0.0,0.0,0.0,533.0,0.0,95.0,0.0,0.0,4.0,0.0,449,3.0,1.0,14,0.0,21.0,1512.0,0.0,0.0,0.0,979.0,0.0,0.0,0.0,414,4.0
1400100,RR,Boa Vista,boa vista,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,51,
1721000,TO,Palmas,palmas,2016,0.0,0.0,0.0,1431.0,0.0,66.0,0.0,0.0,0.0,0.0,93,0.0,0.0,0,0.0,0.0,1651.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,93,0.0
2704302,AL,Maceió,maceio,2017,0.0,0.0,3.0,515.0,2.0,185.0,0.0,52.0,0.0,0.0,665,0.0,0.0,15,0.0,57.0,1572.0,0.0,0.0,0.0,1057.0,3.0,0.0,0.0,590,8.0
2304400,CE,Fortaleza,fortaleza,2017,3.0,0.0,13.0,2734.0,4.0,504.0,0.0,30.0,18.0,0.0,2029,16.0,1.0,29,0.0,50.0,9265.0,0.0,0.0,0.0,6531.0,18.0,1.0,0.0,1932,2.0
3205309,ES,Vitória,vitoria,2017,0.0,0.0,1.0,816.0,0.0,29.0,0.0,4.0,0.0,0.0,93,0.0,0.0,2,0.0,5.0,1445.0,0.0,0.0,0.0,629.0,0.0,0.0,0.0,86,5.0
5208707,GO,Goiânia,goiania,2017,0.0,0.0,12.0,3634.0,0.0,117.0,0.0,93.0,2.0,0.0,565,2.0,0.0,17,0.0,105.0,9269.0,0.0,0.0,0.0,5635.0,5.0,0.0,0.0,438,18.0
2111300,MA,São Luís,sao luis,2017,0.0,0.0,0.0,539.0,0.0,272.0,0.0,34.0,0.0,0.0,473,0.0,0.0,17,0.0,34.0,1596.0,0.0,0.0,0.0,1057.0,19.0,0.0,0.0,403,7.0
5103403,MT,Cuiabá,cuiaba,2017,0.0,0.0,0.0,926.0,0.0,320.0,0.0,11.0,3.0,0.0,153,3.0,0.0,11,0.0,11.0,2122.0,0.0,0.0,0.0,1196.0,0.0,0.0,0.0,142,7.0
1501402,PA,Belém,belem,2017,0.0,0.0,6.0,1356.0,4.0,573.0,0.0,44.0,8.0,0.0,989,3.0,3.0,45,0.0,54.0,3537.0,0.0,0.0,0.0,2181.0,15.0,2.0,0.0,875,5.0
2507507,PB,João Pessoa,joao pessoa,2017,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,298,0.0,0.0,9,0.0,0.0,744.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,287,
2611606,PE,Recife,recife,2017,0.0,0.0,0.0,1692.0,0.0,432.0,0.0,0.0,5.0,0.0,790,2.0,1.0,16,0.0,14.0,5494.0,0.0,0.0,0.0,3802.0,2.0,2.0,0.0,772,1.0
2211001,PI,Teresina,teresina,2017,1.0,0.0,6.0,1143.0,0.0,277.0,0.0,7.0,3.0,0.0,319,3.0,0.0,25,0.0,14.0,3348.0,0.0,0.0,0.0,2205.0,3.0,0.0,0.0,291,4.0
3304557,RJ,Rio de Janeiro,rio de janeiro,2017,0.0,0.0,0.0,6839.0,0.0,1438.0,1.0,0.0,55.0,0.0,2131,36.0,1.0,93,0.0,527.0,32733.0,0.0,0.0,0.0,25894.0,19.0,17.0,0.0,1492,24.0
2408102,RN,Natal,natal,2017,0.0,0.0,0.0,722.0,4.0,72.0,0.0,17.0,6.0,0.0,586,6.0,0.0,19,0.0,21.0,4507.0,0.0,0.0,0.0,3785.0,103.0,0.0,0.0,443,3.0
4205407,SC,Florianópolis,florianopolis,2017,0.0,0.0,0.0,696.0,1.0,221.0,0.0,15.0,0.0,0.0,181,0.0,0.0,8,0.0,16.0,1053.0,0.0,0.0,0.0,357.0,6.0,0.0,0.0,151,8.0
1200401,AC,Rio Branco,rio branco,2017,1.0,0.0,4.0,0.0,0.0,27.0,0.0,25.0,0.0,0.0,321,0.0,0.0,13,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,9.0
1302603,AM,Manaus,manaus,2017,3.0,0.0,7.0,3542.0,0.0,865.0,0.0,21.0,5.0,0.0,1083,4.0,0.0,63,0.0,31.0,8139.0,0.0,0.0,0.0,4597.0,28.0,1.0,0.0,961,2.0
1600303,AP,Macapá,macapa,2017,0.0,0.0,0.0,717.0,0.0,306.0,0.0,44.0,1.0,0.0,313,1.0,0.0,11,0.0,44.0,982.0,0.0,0.0,0.0,265.0,7.0,0.0,0.0,251,14.0
2927408,BA,Salvador,salvador,2017,0.0,0.0,2.0,1567.0,10.0,601.0,0.0,134.0,6.0,0.0,1521,3.0,2.0,36,0.0,146.0,7302.0,0.0,0.0,0.0,5735.0,13.0,1.0,0.0,1326,9.0
5300108,DF,Brasília,brasilia,2017,0.0,0.0,5.0,5726.0,0.0,889.0,0.0,2.0,5.0,0.0,556,4.0,1.0,36,0.0,7.0,10577.0,0.0,0.0,0.0,4851.0,5.0,0.0,0.0,508,1.0
3106200,MG,Belo Horizonte,belo horizonte,2017,3.0,0.0,8.0,6435.0,1.0,617.0,0.0,25.0,0.0,0.0,572,0.0,0.0,10,0.0,37.0,10926.0,0.0,0.0,0.0,4491.0,13.0,0.0,0.0,549,6.0
4106902,PR,Curitiba,curitiba,2017,0.0,0.0,8.0,5586.0,0.0,711.0,0.0,65.0,1.0,0.0,464,0.0,0.0,11,0.0,73.0,9545.0,0.0,0.0,0.0,3959.0,9.0,1.0,0.0,371,15.0
4314902,RS,Porto Alegre,porto alegre,2017,2.0,0.0,8.0,3109.0,0.0,689.0,0.0,26.0,0.0,0.0,687,0.0,0.0,12,0.0,36.0,11538.0,0.0,0.0,0.0,8429.0,5.0,0.0,0.0,670,5.0
3550308,SP,São Paulo,sao paulo,2017,11.0,0.0,138.0,42547.0,17.0,2546.0,1.0,281.0,32.0,0.0,1345,23.0,2.0,118,0.0,447.0,74981.0,0.0,0.0,0.0,32434.0,3.0,6.0,0.0,777,33.0
5002704,MS,Campo Grande,campo grande,2017,1.0,0.0,1.0,1912.0,0.0,651.0,0.0,22.0,0.0,0.0,118,0.0,0.0,5,0.0,24.0,2372.0,0.0,0.0,0.0,460.0,1.0,0.0,0.0,112,20.0
1100205,RO,Porto Velho,porto velho,2017,0.0,0.0,1.0,1860.0,0.0,355.0,0.0,3.0,2.0,0.0,158,1.0,1.0,4,0.0,4.0,3338.0,0.0,0.0,0.0,1478.0,2.0,0.0,0.0,152,2.0
2800308,SE,Aracaju,aracaju,2017,0.0,0.0,0.0,457.0,0.0,161.0,0.0,0.0,3.0,0.0,364,2.0,1.0,9,0.0,27.0,1515.0,0.0,0.0,0.0,1058.0,1.0,0.0,0.0,327,7.0
1400100,RR,Boa Vista,boa vista,2017,0.0,0.0,0.0,758.0,0.0,185.0,0.0,7.0,1.0,0.0,135,1.0,0.0,6,0.0,7.0,1110.0,0.0,0.0,0.0,352.0,4.0,0.0,0.0,118,5.0
1721000,TO,Palmas,palmas,2017,0.0,0.0,0.0,676.0,0.0,84.0,0.0,0.0,0.0,0.0,80,0.0,0.0,2,0.0,0.0,813.0,0.0,0.0,0.0,137.0,1.0,0.0,0.0,77,
1200401,AC,Rio Branco,rio branco,2018,0.0,5.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,227,0.0,0.0,9,0.0,0.0,0.0,1432.0,0.0,1040.0,0.0,0.0,0.0,1432.0,218,
2704302,AL,Maceió,maceio,2018,0.0,7.0,0.0,998.0,0.0,213.0,0.0,0.0,1.0,237.0,456,0.0,0.0,16,394.0,0.0,2007.0,144.0,738.0,880.0,1009.0,1.0,0.0,538.0,439,
1302603,AM,Manaus,manaus,2018,0.0,3.0,0.0,2257.0,0.0,988.0,0.0,0.0,3.0,653.0,1008,0.0,0.0,52,371.0,40.0,5343.0,616.0,2370.0,2438.0,3086.0,24.0,0.0,987.0,892,3.0
1600303,AP,Macapá,macapa,2018,0.0,2.0,0.0,639.0,0.0,231.0,0.0,0.0,5.0,99.0,348,0.0,0.0,12,196.0,34.0,977.0,0.0,0.0,260.0,338.0,28.0,0.0,196.0,274,9.0
2927408,BA,Salvador,salvador,2018,0.0,7.0,0.0,1406.0,0.0,427.0,0.0,0.0,8.0,1314.0,1243,0.0,0.0,16,185.0,99.0,6794.0,30.0,2884.0,1847.0,5388.0,13.0,0.0,215.0,1115,7.0
2304400,CE,Fortaleza,fortaleza,2018,0.0,5.0,0.0,2345.0,0.0,478.0,0.0,0.0,8.0,1167.0,1540,0.0,0.0,13,746.0,63.0,7378.0,371.0,2471.0,3083.0,5033.0,19.0,0.0,1117.0,1445,4.0
5300108,DF,Brasília,brasilia,2018,0.0,28.0,0.0,5300.0,0.0,789.0,0.0,0.0,2.0,5603.0,505,0.0,0.0,33,0.0,5.0,9293.0,0.0,15368.0,2814.0,3993.0,8.0,0.0,1233.0,459,0.0
3205309,ES,Vitória,vitoria,2018,0.0,2.0,0.0,639.0,0.0,86.0,0.0,0.0,0.0,257.0,84,0.0,0.0,2,119.0,4.0,975.0,13.0,100.0,452.0,336.0,2.0,0.0,132.0,76,4.0
5208707,GO,Goiânia,goiania,2018,0.0,11.0,0.0,3403.0,0.0,122.0,0.0,0.0,0.0,9005.0,457,0.0,0.0,20,0.0,0.0,6591.0,179.0,3940.0,1152.0,3188.0,28.0,0.0,179.0,409,
2111300,MA,São Luís,sao luis,2018,0.0,0.0,0.0,735.0,0.0,209.0,0.0,0.0,0.0,584.0,297,0.0,0.0,18,326.0,21.0,1717.0,0.0,0.0,993.0,982.0,2.0,0.0,326.0,256,7.0
3106200,MG,Belo Horizonte,belo horizonte,2018,0.0,7.0,0.0,5477.0,0.0,613.0,0.0,0.0,0.0,2643.0,455,0.0,0.0,8,304.0,24.0,8078.0,230.0,7862.0,5807.0,2601.0,9.0,0.0,534.0,414,5.0
5002704,MS,Campo Grande,campo grande,2018,0.0,9.0,0.0,2224.0,0.0,659.0,0.0,0.0,1.0,505.0,154,0.0,0.0,12,134.0,21.0,2624.0,120.0,1513.0,1050.0,400.0,0.0,0.0,254.0,121,13.0
5103403,MT,Cuiabá,cuiaba,2018,0.0,6.0,0.0,778.0,0.0,313.0,0.0,0.0,1.0,508.0,137,0.0,0.0,10,120.0,12.0,1945.0,60.0,0.0,671.0,1167.0,1.0,0.0,180.0,114,8.0
1501402,PA,Belém,belem,2018,0.0,8.0,0.0,1158.0,0.0,552.0,0.0,0.0,14.0,334.0,1043,0.0,0.0,60,131.0,132.0,2868.0,27.0,2015.0,887.0,1710.0,5.0,0.0,158.0,846,12.0
2507507,PB,João Pessoa,joao pessoa,2018,0.0,5.0,0.0,436.0,0.0,35.0,0.0,0.0,3.0,152.0,258,0.0,0.0,8,0.0,11.0,1460.0,0.0,0.0,252.0,1024.0,1.0,0.0,0.0,238,4.0
2611606,PE,Recife,recife,2018,0.0,6.0,0.0,1307.0,0.0,465.0,0.0,0.0,0.0,744.0,613,0.0,0.0,7,217.0,12.0,4623.0,98.0,1818.0,1395.0,3316.0,0.0,0.0,315.0,594,1.0
2211001,PI,Teresina,teresina,2018,0.0,9.0,0.0,2024.0,0.0,224.0,0.0,0.0,1.0,174.0,337,0.0,0.0,22,0.0,13.0,5001.0,0.0,0.0,409.0,2977.0,2.0,0.0,0.0,300,3.0
4106902,PR,Curitiba,curitiba,2018,0.0,7.0,0.0,4860.0,0.0,797.0,0.0,0.0,3.0,3530.0,403,0.0,0.0,15,0.0,81.0,7713.0,0.0,1990.0,1532.0,2853.0,9.0,0.0,476.0,298,20.0
3304557,RJ,Rio de Janeiro,rio de janeiro,2018,0.0,22.0,0.0,7050.0,0.0,1642.0,0.0,0.0,41.0,1204.0,1987,0.0,0.0,66,0.0,558.0,31848.0,0.0,9063.0,1998.0,24798.0,25.0,0.0,936.0,1338,28.0
2408102,RN,Natal,natal,2018,0.0,6.0,0.0,594.0,0.0,114.0,0.0,0.0,4.0,66.0,446,0.0,0.0,20,56.0,35.0,4027.0,0.0,0.0,103.0,3433.0,61.0,0.0,56.0,330,7.0
1100205,RO,Porto Velho,porto velho,2018,0.0,4.0,0.0,1860.0,0.0,355.0,0.0,0.0,0.0,388.0,160,0.0,0.0,4,0.0,2.0,3338.0,0.0,0.0,509.0,1478.0,2.0,0.0,0.0,152,1.0
1400100,RR,Boa Vista,boa vista,2018,0.0,2.0,0.0,644.0,0.0,219.0,0.0,0.0,2.0,181.0,175,0.0,0.0,12,54.0,1.0,1194.0,22.0,432.0,375.0,550.0,7.0,0.0,88.0,155,0.0
4314902,RS,Porto Alegre,porto alegre,2018,0.0,22.0,0.0,2957.0,0.0,672.0,0.0,0.0,0.0,1468.0,584,0.0,0.0,13,0.0,33.0,11168.0,0.0,3816.0,2140.0,8211.0,1.0,0.0,0.0,537,5.0
4205407,SC,Florianópolis,florianopolis,2018,0.0,4.0,0.0,525.0,0.0,232.0,0.0,0.0,0.0,646.0,123,0.0,0.0,1,67.0,22.0,789.0,42.0,0.0,2161.0,264.0,2.0,0.0,109.0,98,17.0
2800308,SE,Aracaju,aracaju,2018,0.0,4.0,0.0,366.0,0.0,151.0,0.0,0.0,4.0,95.0,344,0.0,0.0,8,0.0,54.0,1317.0,0.0,466.0,191.0,951.0,1.0,0.0,147.0,281,15.0
